"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","509","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","7952","limited_space","7438","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    ","n","","",""
"","","","","","instructions","2","2.0.0","194150","limited_space","186193","","","[{""page_index"":0,""viewing_time"":186193}]","",""
"","","","","","html-keyboard-response","3","2.0.0","197159","limited_space","3006","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","219133","limited_space","21962","","{""Q0"":3,""Q1"":0}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","242904","limited_space","23759","","{""Q0"":3,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","311379","limited_space","68460","","{""Q0"":6,""Q1"":1}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","318390","limited_space","7003","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","328612","limited_space","10212","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","350578","limited_space","21950","","{""Q0"":6,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","357519","limited_space","6933","","{""Q0"":6,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","369986","limited_space","12449","","{""Q0"":6,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","376988","limited_space","6987","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","387794","limited_space","10799","","{""Q0"":2,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","394578","limited_space","6761","","{""Q0"":""35""}","","age_question",""
"","","","","","survey-multi-choice","15","null","397000","limited_space","2414","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","456460","limited_space","59424","","{""Q0"":""love will go to no end""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","472599","limited_space","16125","","{""Q0"":""a chance to grow""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","480146","limited_space","7536","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","484853","limited_space","4700","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","518884","limited_space","34017","","{""Q0"":""short ""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","530383","limited_space","11491","","{""Q0"":""through deeds""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","546914","limited_space","16525","","{""Q0"":""what makes you smile""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","559777","limited_space","12852","","{""Q0"":""Women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","592429","limited_space","32641","","{""Q0"":""one step at a time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","599523","limited_space","7083","","{""Q0"":""is an old friend.""}","","recall_statement_10",""
