"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","159","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","3131","limited_space","2970","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    ","Enter","","",""
"","","","","","instructions","2","2.0.0","44477","limited_space","41344","","","[{""page_index"":0,""viewing_time"":41344}]","",""
"","","","","","html-keyboard-response","3","2.0.0","49306","limited_space","4827","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    ","Enter","","",""
"","","","","","survey-likert","4","null","70774","limited_space","21464","","{""Q0"":3,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","81254","limited_space","10477","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","93589","limited_space","12333","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","103237","limited_space","9646","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","114246","limited_space","11006","","{""Q0"":2,""Q1"":2}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","120951","limited_space","6701","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","127606","limited_space","6653","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","138606","limited_space","10997","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","144598","limited_space","5989","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","158975","limited_space","14374","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","169127","limited_space","10141","","{""Q0"":""68""}","","age_question",""
"","","","","","survey-multi-choice","15","null","172069","limited_space","2940","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","282767","limited_space","110683","","{""Q0"":""is a heart (sorry can't remember that last word}\n""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","295222","limited_space","12451","","{""Q0"":""I do not remember""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","425696","limited_space","130468","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","563529","limited_space","137828","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","586649","limited_space","23116","","{""Q0"":""precious to waste on regrets""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","606417","limited_space","19763","","{""Q0"":""in deeds rather than words""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","623714","limited_space","17293","","{""Q0"":""what matters""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","632770","limited_space","9052","","{""Q0"":""women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","650170","limited_space","17391","","{""Q0"":""a step at a time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","678090","limited_space","27916","","{""Q0"":""is am old friend""}","","recall_statement_10",""
