"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","156","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","2369","limited_space","2212","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","instructions","2","2.0.0","131929","limited_space","129555","","","[{""page_index"":0,""viewing_time"":129555}]","",""
"","","","","","html-keyboard-response","3","2.0.0","138493","limited_space","6563","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","144438","limited_space","5942","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","154278","limited_space","9838","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","160172","limited_space","5893","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","167330","limited_space","7156","","{""Q0"":4,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","175027","limited_space","7694","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","182210","limited_space","7182","","{""Q0"":4,""Q1"":1}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","190581","limited_space","8369","","{""Q0"":3,""Q1"":2}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","194890","limited_space","4307","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","203915","limited_space","9024","","{""Q0"":6,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","209646","limited_space","5730","","{""Q0"":5,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","213359","limited_space","3711","","{""Q0"":""59""}","","age_question",""
"","","","","","survey-multi-choice","15","null","215292","limited_space","1931","","{""gender"":""Male""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","231113","limited_space","15812","","{""Q0"":""in love knows no limits""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","236822","limited_space","5707","","{""Q0"":""a chance to grow""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","244941","limited_space","8116","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","249387","limited_space","4445","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","258378","limited_space","8989","","{""Q0"":""short to have regrets""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","268877","limited_space","10497","","{""Q0"":""through actions more than words""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","280210","limited_space","11331","","{""Q0"":""the things that make you happy""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","287338","limited_space","7125","","{""Q0"":""and women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","294450","limited_space","7110","","{""Q0"":""one step at a time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","298641","limited_space","4190","","{""Q0"":""is an old friend""}","","recall_statement_10",""
