"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","142","empty_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","4272","empty_space","4129","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    ","Enter","","",""
"","","","","","instructions","2","2.0.0","27669","empty_space","23396","","","[{""page_index"":0,""viewing_time"":23395}]","",""
"","","","","","html-keyboard-response","3","2.0.0","40738","empty_space","13068","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    ","Enter","","",""
"","","","","","survey-likert","4","null","63821","empty_space","23077","","{""Q0"":5,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","91497","empty_space","27664","","{""Q0"":3,""Q1"":1}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","104885","empty_space","13378","","{""Q0"":4,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","120866","empty_space","15976","","{""Q0"":4,""Q1"":1}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","134566","empty_space","13688","","{""Q0"":1,""Q1"":1}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","145156","empty_space","10585","","{""Q0"":5,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","157998","empty_space","12832","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","175919","empty_space","17916","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","185767","empty_space","9844","","{""Q0"":6,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","199832","empty_space","14060","","{""Q0"":1,""Q1"":1}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","204548","empty_space","4702","","{""Q0"":""27""}","","age_question",""
"","","","","","survey-multi-choice","15","null","209173","empty_space","4622","","{""gender"":""Male""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","318494","empty_space","109288","","{""Q0"":""love will do the most \""something\"" things""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","352175","empty_space","33674","","{""Q0"":""a chance to make a change""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","363602","empty_space","11425","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","369732","empty_space","6128","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","380519","empty_space","10785","","{""Q0"":""short to be regretful""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","429176","empty_space","48655","","{""Q0"":""through actions, not statements""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","500654","empty_space","71475","","{""Q0"":""what makes you happy""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","512399","empty_space","11742","","{""Q0"":""and women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","519495","empty_space","7094","","{""Q0"":""one step at time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","524880","empty_space","5382","","{""Q0"":""is in an old friend""}","","recall_statement_10",""
