"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","1191","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","11027","limited_space","9836","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    ","Enter","","",""
"","","","","","instructions","2","2.0.0","84873","limited_space","73843","","","[{""page_index"":0,""viewing_time"":73843}]","",""
"","","","","","html-keyboard-response","3","2.0.0","95564","limited_space","10689","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","121676","limited_space","26109","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","145319","limited_space","23641","","{""Q0"":6,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","151685","limited_space","6364","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","164103","limited_space","12416","","{""Q0"":5,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","171975","limited_space","7870","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","182858","limited_space","10880","","{""Q0"":5,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","192532","limited_space","9672","","{""Q0"":4,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","200843","limited_space","8309","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","207272","limited_space","6427","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","218984","limited_space","11710","","{""Q0"":3,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","226041","limited_space","7052","","{""Q0"":""22""}","","age_question",""
"","","","","","survey-multi-choice","15","null","229270","limited_space","3229","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","263014","limited_space","33731","","{""Q0"":""love has no limits""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","353143","limited_space","90124","","{""Q0"":""a gift""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","384188","limited_space","31040","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","403396","limited_space","19202","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","418448","limited_space","15047","","{""Q0"":""short""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","448163","limited_space","29709","","{""Q0"":""through actions, not words""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","475635","limited_space","27467","","{""Q0"":""the things that matter""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","501146","limited_space","25507","","{""Q0"":""but women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","518158","limited_space","17007","","{""Q0"":""as it comes""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","554316","limited_space","36154","","{""Q0"":""is an old friend""}","","recall_statement_10",""
