"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","15","empty_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","743","empty_space","727","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","instructions","2","2.0.0","1890","empty_space","1145","","","[{""page_index"":0,""viewing_time"":1145}]","",""
"","","","","","html-keyboard-response","3","2.0.0","2638","empty_space","747","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","5277","empty_space","2637","","{""Q0"":4,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","9652","empty_space","4372","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","12520","empty_space","2867","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","15182","empty_space","2659","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","18114","empty_space","2931","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","20512","empty_space","2396","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","23022","empty_space","2508","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","25500","empty_space","2476","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","27691","empty_space","2189","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","30288","empty_space","2595","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","32838","empty_space","2548","","{""Q0"":""22""}","","age_question",""
"","","","","","survey-multi-choice","15","null","34304","empty_space","1465","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","37380","empty_space","3070","","{""Q0"":""drq""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","38631","empty_space","1250","","{""Q0"":""rqrq""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","40161","empty_space","1528","","{""Q0"":""rqwrq""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","41642","empty_space","1481","","{""Q0"":""rqrq""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","42567","empty_space","923","","{""Q0"":""rqrq""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","43364","empty_space","796","","{""Q0"":""qrqr""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","43714","empty_space","349","","{""Q0"":""""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","44272","empty_space","556","","{""Q0"":""rqrqr""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","45014","empty_space","741","","{""Q0"":""rqr""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","45730","empty_space","715","","{""Q0"":""rwr""}","","recall_statement_10",""
