"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","645","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","1664","limited_space","1017","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","instructions","2","2.0.0","7354","limited_space","5689","","","[{""page_index"":0,""viewing_time"":5689}]","",""
"","","","","","html-keyboard-response","3","2.0.0","8207","limited_space","852","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","10409","limited_space","2198","","{""Q0"":4,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","12429","limited_space","2018","","{""Q0"":5,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","14831","limited_space","2400","","{""Q0"":4,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","17310","limited_space","2476","","{""Q0"":4,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","20030","limited_space","2718","","{""Q0"":5,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","22381","limited_space","2349","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","24561","limited_space","2179","","{""Q0"":6,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","26618","limited_space","2054","","{""Q0"":4,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","30240","limited_space","3619","","{""Q0"":3,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","32334","limited_space","2092","","{""Q0"":5,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","33642","limited_space","1305","","{""Q0"":""22""}","","age_question",""
"","","","","","survey-multi-choice","15","null","36294","limited_space","2651","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","40927","limited_space","4626","","{""Q0"":""love\n\n""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","42382","limited_space","1454","","{""Q0"":""sa""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","48807","limited_space","6424","","{""Q0"":""is happiness doubled\n""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","51903","limited_space","3096","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","54075","limited_space","2171","","{""Q0"":""short""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","55952","limited_space","1876","","{""Q0"":""in""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","58779","limited_space","2826","","{""Q0"":""what""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","63259","limited_space","4479","","{""Q0"":""women never""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","67314","limited_space","4055","","{""Q0"":""one step at a time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","69558","limited_space","2243","","{""Q0"":""is""}","","recall_statement_10",""
