"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","26","empty_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","1067","empty_space","1040","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    ","Enter","","",""
"","","","","","instructions","2","2.0.0","2653","empty_space","1585","","","[{""page_index"":0,""viewing_time"":1585}]","",""
"","","","","","html-keyboard-response","3","2.0.0","3442","empty_space","788","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    ","Enter","","",""
"","","","","","survey-likert","4","null","6007","empty_space","2561","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","8667","empty_space","2659","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","11165","empty_space","2497","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","13941","empty_space","2772","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","16570","empty_space","2627","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","19035","empty_space","2462","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","21657","empty_space","2619","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","24151","empty_space","2492","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","26509","empty_space","2356","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","30484","empty_space","3973","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","33009","empty_space","2520","","{""Q0"":""25""}","","age_question",""
"","","","","","survey-multi-choice","15","null","34498","empty_space","1487","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","36866","empty_space","2351","","{""Q0"":""x""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","37132","empty_space","263","","{""Q0"":""x""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","37353","empty_space","219","","{""Q0"":""x""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","37578","empty_space","223","","{""Q0"":""""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","37786","empty_space","206","","{""Q0"":""""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","38068","empty_space","280","","{""Q0"":""x""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","38733","empty_space","663","","{""Q0"":""x""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","39366","empty_space","632","","{""Q0"":""x""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","39799","empty_space","431","","{""Q0"":""x""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","40320","empty_space","520","","{""Q0"":""x""}","","recall_statement_10",""
