"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","3777","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","21252","limited_space","17473","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    ","ArrowRight","","",""
"","","","","","instructions","2","2.0.0","133431","limited_space","112175","","","[{""page_index"":0,""viewing_time"":112175}]","",""
"","","","","","html-keyboard-response","3","2.0.0","148099","limited_space","14665","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","265028","limited_space","116927","","{""Q0"":6,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","299215","limited_space","34181","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","346183","limited_space","46964","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","385842","limited_space","39655","","{""Q0"":5,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","426908","limited_space","41063","","{""Q0"":3,""Q1"":2}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","451179","limited_space","24269","","{""Q0"":4,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","476802","limited_space","25621","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","494570","limited_space","17766","","{""Q0"":6,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","520307","limited_space","25734","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","543743","limited_space","23434","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","558922","limited_space","15175","","{""Q0"":""57""}","","age_question",""
"","","","","","survey-multi-choice","15","null","561875","limited_space","2951","","{""gender"":""Male""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","598292","limited_space","36405","","{""Q0"":""...love has no limits.""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","622282","limited_space","23986","","{""Q0"":""...a chance to grow.""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","663176","limited_space","40890","","{""Q0"":""happiness doubled.""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","689081","limited_space","25901","","{""Q0"":""carry on.""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","689274","limited_space","188","","{""Q0"":""""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","717049","limited_space","27772","","{""Q0"":""more in deeds than in words.""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","743462","limited_space","26409","","{""Q0"":""what makes you smile.""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","770749","limited_space","27280","","{""Q0"":""but women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","793048","limited_space","22295","","{""Q0"":""one step at a time.""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","812319","limited_space","19267","","{""Q0"":""is an old friend.""}","","recall_statement_10",""
