"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","1849","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","8601","limited_space","6749","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","instructions","2","2.0.0","15986","limited_space","7384","","","[{""page_index"":0,""viewing_time"":7384}]","",""
"","","","","","html-keyboard-response","3","2.0.0","56531","limited_space","40542","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","68410","limited_space","11877","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","80923","limited_space","12508","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","93691","limited_space","12762","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","102160","limited_space","8454","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","110963","limited_space","8797","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","117786","limited_space","6819","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","122828","limited_space","5037","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","131269","limited_space","8436","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","139782","limited_space","8505","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","145371","limited_space","5574","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","149409","limited_space","4026","","{""Q0"":""50""}","","age_question",""
"","","","","","survey-multi-choice","15","null","151868","limited_space","2456","","{""gender"":""Male""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","161733","limited_space","9847","","{""Q0"":""in love has no limits\n""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","175336","limited_space","13597","","{""Q0"":""is a chance to grow""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","188117","limited_space","12776","","{""Q0"":""is happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","199622","limited_space","11499","","{""Q0"":""move on\n""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","219433","limited_space","19805","","{""Q0"":""short precious to waste on regret""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","239630","limited_space","20190","","{""Q0"":""more in deeds than words""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","270382","limited_space","30747","","{""Q0"":""what makes you smile""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","289174","limited_space","18786","","{""Q0"":""but women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","301984","limited_space","12805","","{""Q0"":""one step at a time\n""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","315239","limited_space","13249","","{""Q0"":""is your old friend""}","","recall_statement_10",""
