"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","183","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","5265","limited_space","5079","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","instructions","2","2.0.0","8815","limited_space","3548","","","[{""page_index"":0,""viewing_time"":3548}]","",""
"","","","","","html-keyboard-response","3","2.0.0","17053","limited_space","8236","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","27096","limited_space","10039","","{""Q0"":3,""Q1"":2}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","33082","limited_space","5983","","{""Q0"":1,""Q1"":0}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","39824","limited_space","6740","","{""Q0"":3,""Q1"":2}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","44855","limited_space","5029","","{""Q0"":3,""Q1"":1}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","47907","limited_space","3049","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","51507","limited_space","3597","","{""Q0"":3,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","58213","limited_space","6704","","{""Q0"":3,""Q1"":1}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","62461","limited_space","4245","","{""Q0"":3,""Q1"":0}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","69059","limited_space","6596","","{""Q0"":1,""Q1"":0}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","77813","limited_space","8752","","{""Q0"":2,""Q1"":0}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","81180","limited_space","3356","","{""Q0"":""27""}","","age_question",""
"","","","","","survey-multi-choice","15","null","83819","limited_space","2638","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","93991","limited_space","10170","","{""Q0"":""love is a heart full""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","102128","limited_space","8136","","{""Q0"":""a gift""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","108674","limited_space","6545","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","111973","limited_space","3298","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","122302","limited_space","10329","","{""Q0"":""short to focus on regrets""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","150011","limited_space","27708","","{""Q0"":""through a mirror""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","157638","limited_space","7626","","{""Q0"":""memories""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","163493","limited_space","5854","","{""Q0"":""women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","169996","limited_space","6502","","{""Q0"":""one day at a time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","174196","limited_space","4199","","{""Q0"":""is an old friend""}","","recall_statement_10",""
