"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","367","empty_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","5260","empty_space","4889","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","instructions","2","2.0.0","17985","empty_space","12723","","","[{""page_index"":0,""viewing_time"":12722}]","",""
"","","","","","html-keyboard-response","3","2.0.0","28927","empty_space","10941","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","63157","empty_space","34226","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","75894","empty_space","12735","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","93182","empty_space","17284","","{""Q0"":2,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","102575","empty_space","9390","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","118386","empty_space","15808","","{""Q0"":2,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","126028","empty_space","7639","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","158077","empty_space","32047","","{""Q0"":2,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","170448","empty_space","12368","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","179493","empty_space","9041","","{""Q0"":6,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","189483","empty_space","9987","","{""Q0"":5,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","194640","empty_space","5151","","{""Q0"":""35""}","","age_question",""
"","","","","","survey-multi-choice","15","null","197906","empty_space","3263","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","209245","empty_space","11329","","{""Q0"":""love has no limits""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","290074","empty_space","80825","","{""Q0"":""learning day""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","311182","empty_space","21102","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","319477","empty_space","8290","","{""Q0"":""carry on ""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","329970","empty_space","10488","","{""Q0"":""short to live with regrets""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","363255","empty_space","33281","","{""Q0"":""with deeds not words""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","374130","empty_space","10870","","{""Q0"":""things that make you smile""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","383333","empty_space","9200","","{""Q0"":""women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","455551","empty_space","72214","","{""Q0"":""as a day to teach ""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","475648","empty_space","20094","","{""Q0"":""is seeing an old friend ""}","","recall_statement_10",""
