"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","286","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","55716","limited_space","55429","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","instructions","2","2.0.0","65864","limited_space","10147","","","[{""page_index"":0,""viewing_time"":10147}]","",""
"","","","","","html-keyboard-response","3","2.0.0","75418","limited_space","9554","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","89048","limited_space","13628","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","121759","limited_space","32710","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","126863","limited_space","5103","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","146583","limited_space","19719","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","179151","limited_space","32567","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","185327","limited_space","6175","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","189455","limited_space","4127","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","193372","limited_space","3916","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","214819","limited_space","21446","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","219995","limited_space","5176","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","223531","limited_space","3534","","{""Q0"":""28""}","","age_question",""
"","","","","","survey-multi-choice","15","null","224987","limited_space","1455","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","240931","limited_space","15940","","{""Q0"":""love has no limits""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","256863","limited_space","15930","","{""Q0"":""a chance to be better""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","269787","limited_space","12923","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","274827","limited_space","5039","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","293019","limited_space","18191","","{""Q0"":""short to waste it on regrets""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","312051","limited_space","19031","","{""Q0"":""in deeds more than words""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","320027","limited_space","7975","","{""Q0"":""what makes you smile""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","332635","limited_space","12607","","{""Q0"":""but women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","341050","limited_space","8413","","{""Q0"":""one step at a time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","351035","limited_space","9984","","{""Q0"":""is an old friend""}","","recall_statement_10",""
