"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","111","empty_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","4108","empty_space","3996","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    ","g","","",""
"","","","","","instructions","2","2.0.0","122813","empty_space","118705","","","[{""page_index"":0,""viewing_time"":118705}]","",""
"","","","","","html-keyboard-response","3","2.0.0","130363","empty_space","7548","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    ","d","","",""
"","","","","","survey-likert","4","null","152503","empty_space","22139","","{""Q0"":4,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","164286","empty_space","11782","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","174460","empty_space","10173","","{""Q0"":2,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","183405","empty_space","8944","","{""Q0"":1,""Q1"":2}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","191235","empty_space","7829","","{""Q0"":6,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","201224","empty_space","9988","","{""Q0"":2,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","209338","empty_space","8113","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","219843","empty_space","10504","","{""Q0"":6,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","228493","empty_space","8649","","{""Q0"":6,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","232829","empty_space","4335","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","238391","empty_space","5560","","{""Q0"":""25""}","","age_question",""
"","","","","","survey-multi-choice","15","null","240610","empty_space","2218","","{""gender"":""Male""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","277765","empty_space","37151","","{""Q0"":""love is never lost""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","289062","empty_space","11296","","{""Q0"":""a chance to grow""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","301537","empty_space","12474","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","305587","empty_space","4048","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","314956","empty_space","9368","","{""Q0"":""short to live with regrets""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","332100","empty_space","17142","","{""Q0"":""when hate is lost""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","351502","empty_space","19400","","{""Q0"":""the things you enjoy""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","363181","empty_space","11677","","{""Q0"":""while women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","384580","empty_space","21398","","{""Q0"":""at a slow and steady pace""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","390406","empty_space","5825","","{""Q0"":""is an old firend""}","","recall_statement_10",""
