"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","124","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","4742","limited_space","4616","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","instructions","2","2.0.0","24764","limited_space","20022","","","[{""page_index"":0,""viewing_time"":20022}]","",""
"","","","","","html-keyboard-response","3","2.0.0","32229","limited_space","7463","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","46082","limited_space","13849","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","58205","limited_space","12121","","{""Q0"":3,""Q1"":2}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","66267","limited_space","8060","","{""Q0"":4,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","74387","limited_space","8118","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","80275","limited_space","5886","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","88798","limited_space","8521","","{""Q0"":4,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","95898","limited_space","7097","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","106518","limited_space","10619","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","113666","limited_space","7147","","{""Q0"":4,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","117921","limited_space","4253","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","123260","limited_space","5324","","{""Q0"":""31""}","","age_question",""
"","","","","","survey-multi-choice","15","null","125122","limited_space","1860","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","235325","limited_space","110203","","{""Q0"":""love has no limits.""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","243194","limited_space","7868","","{""Q0"":""a chance to grow.""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","251091","limited_space","7895","","{""Q0"":""happiness doubled.""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","255530","limited_space","4438","","{""Q0"":""carry on.""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","260996","limited_space","5465","","{""Q0"":""short to have regrets.""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","266888","limited_space","5892","","{""Q0"":""with deeds not words.""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","272422","limited_space","5533","","{""Q0"":""what makes you happy.""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","278465","limited_space","6042","","{""Q0"":""woman never forget.""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","283139","limited_space","4673","","{""Q0"":""one step at a time.""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","286889","limited_space","3749","","{""Q0"":""is an old friend.""}","","recall_statement_10",""
