"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","313","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","124942","limited_space","124627","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","instructions","2","2.0.0","141541","limited_space","16596","","","[{""page_index"":0,""viewing_time"":16596}]","",""
"","","","","","html-keyboard-response","3","2.0.0","161643","limited_space","20099","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","178840","limited_space","17190","","{""Q0"":3,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","189979","limited_space","11129","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","198265","limited_space","8276","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","210833","limited_space","12556","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","216193","limited_space","5345","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","222289","limited_space","6080","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","228045","limited_space","5733","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","234635","limited_space","6567","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","243725","limited_space","9080","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","249684","limited_space","5940","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","254416","limited_space","4715","","{""Q0"":""52""}","","age_question",""
"","","","","","survey-multi-choice","15","null","256648","limited_space","2228","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","302448","limited_space","45772","","{""Q0"":""shared is double the love""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","313372","limited_space","10912","","{""Q0"":""a chance to do better""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","332759","limited_space","19371","","{""Q0"":""a life worth living""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","337366","limited_space","4595","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","350201","limited_space","12815","","{""Q0"":""short not to live it to the fullest""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","358846","limited_space","8638","","{""Q0"":""thru actions""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","366226","limited_space","7366","","{""Q0"":""what makes you smile""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","374866","limited_space","8629","","{""Q0"":""women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","383906","limited_space","9030","","{""Q0"":""one day at a time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","390840","limited_space","6924","","{""Q0"":""a best friend""}","","recall_statement_10",""
