"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","372","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","6547","limited_space","6171","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","instructions","2","2.0.0","152088","limited_space","145537","","","[{""page_index"":0,""viewing_time"":145537}]","",""
"","","","","","html-keyboard-response","3","2.0.0","157106","limited_space","5014","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","187581","limited_space","30462","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","200021","limited_space","12426","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","207483","limited_space","7450","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","219231","limited_space","11734","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","231605","limited_space","12362","","{""Q0"":4,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","242368","limited_space","10749","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","252073","limited_space","9692","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","260353","limited_space","8267","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","271077","limited_space","10712","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","287714","limited_space","16623","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","295256","limited_space","7529","","{""Q0"":""50""}","","age_question",""
"","","","","","survey-multi-choice","15","null","299978","limited_space","4717","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","503159","limited_space","203128","","{""Q0"":""love gives freely""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","533255","limited_space","30090","","{""Q0"":""a fresh start.""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","544849","limited_space","11586","","{""Q0"":""""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","556981","limited_space","12121","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","575819","limited_space","18828","","{""Q0"":""short eat the cake buy the shoes\n""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","594386","limited_space","18560","","{""Q0"":""not just spoken""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","610512","limited_space","16115","","{""Q0"":""all things esp love""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","623845","limited_space","13326","","{""Q0"":""women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","637529","limited_space","13677","","{""Q0"":""like its your last""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","659900","limited_space","22365","","{""Q0"":""is a broken one""}","","recall_statement_10",""
