"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","5067","empty_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","9404","empty_space","4334","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","instructions","2","2.0.0","54405","empty_space","44997","","","[{""page_index"":0,""viewing_time"":44997}]","",""
"","","","","","html-keyboard-response","3","2.0.0","56632","empty_space","2224","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","70586","empty_space","13942","","{""Q0"":5,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","81880","empty_space","11288","","{""Q0"":2,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","92827","empty_space","10941","","{""Q0"":4,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","100841","empty_space","8008","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","140242","empty_space","39394","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","146556","empty_space","6307","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","160888","empty_space","14325","","{""Q0"":4,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","202793","empty_space","41898","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","218026","empty_space","15227","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","227185","empty_space","9153","","{""Q0"":6,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","231923","empty_space","4712","","{""Q0"":""27""}","","age_question",""
"","","","","","survey-multi-choice","15","null","236902","empty_space","4972","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","299741","empty_space","62800","","{""Q0"":""your hands is safe but a heart in your care is priceless.""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","374933","empty_space","75161","","{""Q0"":""a new chance to grow.""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","396058","empty_space","21096","","{""Q0"":""happiness doubled.""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","414246","empty_space","18157","","{""Q0"":""carry it on.""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","430297","empty_space","16033","","{""Q0"":""short.""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","467654","empty_space","37326","","{""Q0"":""through actions speaks louder than words.""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","485906","empty_space","18228","","{""Q0"":""what keeps you smile.""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","561585","empty_space","75649","","{""Q0"":""women never forget.""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","605314","empty_space","43699","","{""Q0"":""one kiss at a time, with the one you love.""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","628380","empty_space","23037","","{""Q0"":""is an old friend.""}","","recall_statement_10",""
