"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","1245","empty_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","4712","empty_space","3464","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","instructions","2","2.0.0","8009","empty_space","3295","","","[{""page_index"":0,""viewing_time"":3295}]","",""
"","","","","","html-keyboard-response","3","2.0.0","10607","empty_space","2596","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","45399","empty_space","34785","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","65616","empty_space","20212","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","81648","empty_space","16029","","{""Q0"":4,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","95978","empty_space","14326","","{""Q0"":4,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","110073","empty_space","14090","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","120974","empty_space","10897","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","136142","empty_space","15164","","{""Q0"":5,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","148759","empty_space","12614","","{""Q0"":6,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","159786","empty_space","11024","","{""Q0"":3,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","172855","empty_space","13064","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","178281","empty_space","5421","","{""Q0"":""28""}","","age_question",""
"","","","","","survey-multi-choice","15","null","183417","empty_space","5134","","{""gender"":""Male""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","215555","empty_space","32069","","{""Q0"":""love has no limits""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","231515","empty_space","15957","","{""Q0"":""a chance to grow""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","252906","empty_space","21387","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","261887","empty_space","8976","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","290320","empty_space","28430","","{""Q0"":""precious to waste on regrets""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","315289","empty_space","24966","","{""Q0"":""more in deeds than in words""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","332728","empty_space","17435","","{""Q0"":""what makes you smile""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","357159","empty_space","24428","","{""Q0"":""but women never forgets""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","378557","empty_space","21395","","{""Q0"":""one step at a time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","397320","empty_space","18760","","{""Q0"":""is an old friend""}","","recall_statement_10",""
