"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","138","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","8041","limited_space","7900","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    ","n","","",""
"","","","","","instructions","2","2.0.0","36344325","limited_space","1849459","","","[{""page_index"":0,""viewing_time"":1849459}]","",""
"","","","","","html-keyboard-response","3","2.0.0","36353830","limited_space","9500","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","36365841","limited_space","11997","","{""Q0"":3,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","36374639","limited_space","8677","","{""Q0"":3,""Q1"":2}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","36381218","limited_space","6576","","{""Q0"":4,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","36388196","limited_space","6976","","{""Q0"":2,""Q1"":2}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","36394465","limited_space","6266","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","36399028","limited_space","4559","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","36406805","limited_space","7774","","{""Q0"":4,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","36412128","limited_space","5320","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","36419578","limited_space","7448","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","36426947","limited_space","7366","","{""Q0"":3,""Q1"":2}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","36430319","limited_space","3337","","{""Q0"":""48""}","","age_question",""
"","","","","","survey-multi-choice","15","null","36432626","limited_space","2224","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","36468834","limited_space","36204","","{""Q0"":""love knows...?""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","36476731","limited_space","7895","","{""Q0"":""a new day""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","36484972","limited_space","8240","","{""Q0"":""happiness multiplied""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","36488365","limited_space","3391","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","36493856","limited_space","5490","","{""Q0"":""short""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","36499656","limited_space","5799","","{""Q0"":""in actions not words""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","36504029","limited_space","4372","","{""Q0"":""smiling""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","36509726","limited_space","5695","","{""Q0"":""women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","36514641","limited_space","4914","","{""Q0"":""one at a time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","36519039","limited_space","4397","","{""Q0"":""is an old friend""}","","recall_statement_10",""
