"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","140","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","11367","limited_space","11225","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","instructions","2","2.0.0","47615","limited_space","36247","","","[{""page_index"":0,""viewing_time"":36247}]","",""
"","","","","","html-keyboard-response","3","2.0.0","56485","limited_space","8868","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","66354","limited_space","9864","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","73902","limited_space","7545","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","84089","limited_space","10185","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","91653","limited_space","7561","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","99036","limited_space","7380","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","104892","limited_space","5852","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","116249","limited_space","11354","","{""Q0"":4,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","126640","limited_space","10389","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","136494","limited_space","9852","","{""Q0"":1,""Q1"":1}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","141562","limited_space","5065","","{""Q0"":2,""Q1"":2}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","146462","limited_space","4897","","{""Q0"":""21""}","","age_question",""
"","","","","","survey-multi-choice","15","null","149310","limited_space","2843","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","162618","limited_space","13295","","{""Q0"":""love has no limits""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","177656","limited_space","15035","","{""Q0"":""a chance to grow""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","184161","limited_space","6501","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","188659","limited_space","4494","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","201750","limited_space","13085","","{""Q0"":""precious to waste on regrets""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","224083","limited_space","22329","","{""Q0"":""more in deeds than in words""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","233177","limited_space","9090","","{""Q0"":""what makes you smile""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","245021","limited_space","11840","","{""Q0"":""but women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","257231","limited_space","12207","","{""Q0"":""one step at a time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","266382","limited_space","9147","","{""Q0"":""is an old friend""}","","recall_statement_10",""
