"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","622","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","3677","limited_space","3054","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    ","ArrowRight","","",""
"","","","","","instructions","2","2.0.0","18058","limited_space","14380","","","[{""page_index"":0,""viewing_time"":14380}]","",""
"","","","","","html-keyboard-response","3","2.0.0","28927","limited_space","10867","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    ","ArrowRight","","",""
"","","","","","survey-likert","4","null","41391","limited_space","12455","","{""Q0"":1,""Q1"":1}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","47766","limited_space","6365","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","53389","limited_space","5621","","{""Q0"":2,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","58255","limited_space","4863","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","62986","limited_space","4729","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","69678","limited_space","6689","","{""Q0"":1,""Q1"":1}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","76263","limited_space","6581","","{""Q0"":2,""Q1"":1}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","80999","limited_space","4731","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","86889","limited_space","5887","","{""Q0"":1,""Q1"":1}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","91760","limited_space","4866","","{""Q0"":1,""Q1"":1}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","95399","limited_space","3633","","{""Q0"":""37""}","","age_question",""
"","","","","","survey-multi-choice","15","null","96675","limited_space","1270","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","114054","limited_space","17352","","{""Q0"":""love has no limits""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","127472","limited_space","13415","","{""Q0"":""a chance to learn""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","133719","limited_space","6245","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","136554","limited_space","2833","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","144112","limited_space","7556","","{""Q0"":""short to waste it on regrets""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","151013","limited_space","6897","","{""Q0"":""through deeds not words""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","156192","limited_space","5171","","{""Q0"":""what makes you happy ""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","162935","limited_space","6738","","{""Q0"":""women never forget ""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","168751","limited_space","5814","","{""Q0"":""one step at a time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","174106","limited_space","5352","","{""Q0"":""is an old friend""}","","recall_statement_10",""
