"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","150","empty_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","3763","empty_space","3612","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    ","Enter","","",""
"","","","","","instructions","2","2.0.0","7790","empty_space","4027","","","[{""page_index"":0,""viewing_time"":4027}]","",""
"","","","","","html-keyboard-response","3","2.0.0","15243","empty_space","7452","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    ","Enter","","",""
"","","","","","survey-likert","4","null","34487","empty_space","19243","","{""Q0"":0,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","47113","empty_space","12625","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","61800","empty_space","14687","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","89596","empty_space","27795","","{""Q0"":0,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","97345","empty_space","7748","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","102632","empty_space","5286","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","110226","empty_space","7593","","{""Q0"":6,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","116506","empty_space","6279","","{""Q0"":0,""Q1"":0}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","124955","empty_space","8449","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","131741","empty_space","6785","","{""Q0"":3,""Q1"":0}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","135902","empty_space","4160","","{""Q0"":""35""}","","age_question",""
"","","","","","survey-multi-choice","15","null","137627","empty_space","1724","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","154553","empty_space","16921","","{""Q0"":""love has no limits""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","173987","empty_space","19433","","{""Q0"":""a chance to grow""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","187537","empty_space","13548","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","192521","empty_space","4983","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","201881","empty_space","9358","","{""Q0"":""precious to waste on regrets""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","221305","empty_space","19424","","{""Q0"":""in deeds than in words""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","256093","empty_space","34786","","{""Q0"":""fun things""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","266288","empty_space","10194","","{""Q0"":""women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","281201","empty_space","14912","","{""Q0"":""one step at a time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","291001","empty_space","9799","","{""Q0"":""is an old friend""}","","recall_statement_10",""
