"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","2763","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","17149","limited_space","14367","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    ","ArrowUp","","",""
"","","","","","instructions","2","2.0.0","22011","limited_space","4860","","","[{""page_index"":0,""viewing_time"":4860}]","",""
"","","","","","html-keyboard-response","3","2.0.0","25772","limited_space","3759","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    ","ArrowUp","","",""
"","","","","","survey-likert","4","null","32674","limited_space","6898","","{""Q0"":4,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","36804","limited_space","4126","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","40509","limited_space","3701","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","84034","limited_space","43521","","{""Q0"":3,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","88440","limited_space","4401","","{""Q0"":3,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","92586","limited_space","4142","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","101100","limited_space","8510","","{""Q0"":3,""Q1"":2}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","110990","limited_space","9884","","{""Q0"":4,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","114969","limited_space","3976","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","138126","limited_space","23153","","{""Q0"":4,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","140332","limited_space","2199","","{""Q0"":""34""}","","age_question",""
"","","","","","survey-multi-choice","15","null","141893","limited_space","1556","","{""gender"":""Male""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","158264","limited_space","16319","","{""Q0"":""love will do anything.""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","165072","limited_space","6779","","{""Q0"":""is a day to grow.""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","171044","limited_space","5945","","{""Q0"":""happiness doubled.""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","175199","limited_space","4132","","{""Q0"":""carry on.""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","184409","limited_space","9189","","{""Q0"":""short to live with regrets.""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","192802","limited_space","8369","","{""Q0"":""by deeds more than words.""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","202738","limited_space","9916","","{""Q0"":""growth.""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","210036","limited_space","7268","","{""Q0"":""women never forget.""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","217018","limited_space","6959","","{""Q0"":""one step at a time.""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","223773","limited_space","6733","","{""Q0"":""is an old friend.""}","","recall_statement_10",""
