"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","161","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","7345","limited_space","7183","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","instructions","2","2.0.0","25596","limited_space","18250","","","[{""page_index"":0,""viewing_time"":18250}]","",""
"","","","","","html-keyboard-response","3","2.0.0","50732","limited_space","25135","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","64743","limited_space","14008","","{""Q0"":3,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","73831","limited_space","9088","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","80824","limited_space","6991","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","91502","limited_space","10677","","{""Q0"":3,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","97648","limited_space","6145","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","105456","limited_space","7806","","{""Q0"":3,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","112085","limited_space","6628","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","121492","limited_space","9405","","{""Q0"":3,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","129752","limited_space","8258","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","137954","limited_space","8201","","{""Q0"":3,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","143706","limited_space","5750","","{""Q0"":""54""}","","age_question",""
"","","","","","survey-multi-choice","15","null","147136","limited_space","3428","","{""gender"":""Male""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","205295","limited_space","58149","","{""Q0"":""love knows no limits""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","232808","limited_space","27508","","{""Q0"":""a new day""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","244210","limited_space","11398","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","251358","limited_space","7145","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","262557","limited_space","11196","","{""Q0"":""short for regrets""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","281908","limited_space","19348","","{""Q0"":""in deeds not just words""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","299164","limited_space","17253","","{""Q0"":""the little things""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","310342","limited_space","11176","","{""Q0"":""women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","328490","limited_space","18146","","{""Q0"":""one day at a time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","337060","limited_space","8568","","{""Q0"":""is an old friend""}","","recall_statement_10",""
