"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","457","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","4841","limited_space","4375","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    ","b","","",""
"","","","","","instructions","2","2.0.0","19647","limited_space","14799","","","[{""page_index"":0,""viewing_time"":14798}]","",""
"","","","","","html-keyboard-response","3","2.0.0","32284","limited_space","12631","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    ","n","","",""
"","","","","","survey-likert","4","null","71373","limited_space","39080","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","92461","limited_space","21076","","{""Q0"":6,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","99043","limited_space","6570","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","105167","limited_space","6111","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","112844","limited_space","7665","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","120829","limited_space","7972","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","127896","limited_space","7053","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","135337","limited_space","7427","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","149329","limited_space","13981","","{""Q0"":6,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","157785","limited_space","8445","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","162264","limited_space","4462","","{""Q0"":""46""}","","age_question",""
"","","","","","survey-multi-choice","15","null","165367","limited_space","3096","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","189369","limited_space","23943","","{""Q0"":""love""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","199722","limited_space","10345","","{""Q0"":""precious""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","212317","limited_space","12587","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","217659","limited_space","5334","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","227547","limited_space","9878","","{""Q0"":""short""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","265563","limited_space","38008","","{""Q0"":""not in words, but in good deeds""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","287537","limited_space","21968","","{""Q0"":""things that make you smile""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","295178","limited_space","7632","","{""Q0"":""women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","303196","limited_space","8012","","{""Q0"":""one step at a time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","320011","limited_space","16807","","{""Q0"":""is an old friend""}","","recall_statement_10",""
