"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","216","empty_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","4077","empty_space","3859","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","instructions","2","2.0.0","16028","empty_space","11949","","","[{""page_index"":0,""viewing_time"":11949}]","",""
"","","","","","html-keyboard-response","3","2.0.0","18984","empty_space","2954","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","30055","empty_space","11067","","{""Q0"":4,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","34960","empty_space","4902","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","41374","empty_space","6411","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","45771","empty_space","4395","","{""Q0"":4,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","53771","empty_space","7997","","{""Q0"":6,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","59736","empty_space","5961","","{""Q0"":1,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","64722","empty_space","4982","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","68792","empty_space","4067","","{""Q0"":4,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","76386","empty_space","7592","","{""Q0"":2,""Q1"":2}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","80434","empty_space","4045","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","84427","empty_space","3988","","{""Q0"":""20""}","","age_question",""
"","","","","","survey-multi-choice","15","null","86462","empty_space","2032","","{""gender"":""Male""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","103062","empty_space","16574","","{""Q0"":""love knows no limits""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","110980","empty_space","7907","","{""Q0"":""a chance to grow""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","116826","empty_space","5837","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","120747","empty_space","3912","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","130607","empty_space","9853","","{""Q0"":""short to waste it""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","135469","empty_space","4851","","{""Q0"":""by deeds""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","142425","empty_space","6947","","{""Q0"":""what makes you happy""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","147398","empty_space","4963","","{""Q0"":""but women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","151993","empty_space","4584","","{""Q0"":""one step at a time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","158287","empty_space","6281","","{""Q0"":""is an old friend""}","","recall_statement_10",""
