"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","2893","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","15723","limited_space","12828","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","instructions","2","2.0.0","28284","limited_space","12560","","","[{""page_index"":0,""viewing_time"":12560}]","",""
"","","","","","html-keyboard-response","3","2.0.0","35987","limited_space","7701","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","49645","limited_space","13657","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","58314","limited_space","8667","","{""Q0"":6,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","101340","limited_space","43022","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","116904","limited_space","15561","","{""Q0"":4,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","134304","limited_space","17398","","{""Q0"":6,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","158369","limited_space","24063","","{""Q0"":4,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","174104","limited_space","15734","","{""Q0"":5,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","190936","limited_space","16830","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","208843","limited_space","17905","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","217100","limited_space","8255","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","225010","limited_space","7907","","{""Q0"":""24""}","","age_question",""
"","","","","","survey-multi-choice","15","null","227615","limited_space","2603","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","252362","limited_space","24736","","{""Q0"":""love has no limit""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","266020","limited_space","13653","","{""Q0"":""a chance to grow""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","281995","limited_space","15971","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","292058","limited_space","10058","","{""Q0"":""and carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","309489","limited_space","17427","","{""Q0"":""precious to waste on regrets""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","333828","limited_space","24337","","{""Q0"":""more in deeds than in words""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","353243","limited_space","19410","","{""Q0"":""what makes you smile""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","386986","limited_space","33739","","{""Q0"":""but women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","404330","limited_space","17340","","{""Q0"":""at a time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","423304","limited_space","18969","","{""Q0"":""is an old friend""}","","recall_statement_10",""
