"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","14654","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","21140","limited_space","6482","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    ","ArrowUp","","",""
"","","","","","instructions","2","2.0.0","26257","limited_space","5114","","","[{""page_index"":0,""viewing_time"":5114}]","",""
"","","","","","html-keyboard-response","3","2.0.0","37222","limited_space","10959","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    ","ArrowUp","","",""
"","","","","","survey-likert","4","null","50222","limited_space","12998","","{""Q0"":2,""Q1"":2}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","56005","limited_space","5779","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","58687","limited_space","2678","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","61277","limited_space","2586","","{""Q0"":6,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","67693","limited_space","6412","","{""Q0"":2,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","72715","limited_space","5018","","{""Q0"":4,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","75720","limited_space","3002","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","79825","limited_space","4101","","{""Q0"":6,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","83628","limited_space","3799","","{""Q0"":5,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","90282","limited_space","6649","","{""Q0"":5,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","98368","limited_space","8080","","{""Q0"":""34""}","","age_question",""
"","","","","","survey-multi-choice","15","null","100407","limited_space","2034","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","113863","limited_space","13442","","{""Q0"":""love knows no limit""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","124574","limited_space","10702","","{""Q0"":""a chance to grow ""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","165701","limited_space","41105","","{""Q0"":""is happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","184478","limited_space","18762","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","204690","limited_space","20190","","{""Q0"":""short to waste it in regrets""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","217643","limited_space","12927","","{""Q0"":""by actions not words""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","263964","limited_space","46311","","{""Q0"":""what matters to you""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","273952","limited_space","9975","","{""Q0"":""but women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","292883","limited_space","18926","","{""Q0"":""As it comes""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","318157","limited_space","25265","","{""Q0"":""is an old friend ""}","","recall_statement_10",""
