"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","351","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","6435","limited_space","6081","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    ","Shift","","",""
"","","","","","instructions","2","2.0.0","430264","limited_space","423824","","","[{""page_index"":0,""viewing_time"":423824}]","",""
"","","","","","html-keyboard-response","3","2.0.0","436909","limited_space","6640","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    ","Enter","","",""
"","","","","","survey-likert","4","null","455435","limited_space","18519","","{""Q0"":6,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","470607","limited_space","15161","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","479571","limited_space","8955","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","497232","limited_space","17652","","{""Q0"":6,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","516491","limited_space","19250","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","528816","limited_space","12315","","{""Q0"":4,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","542339","limited_space","13515","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","552001","limited_space","9654","","{""Q0"":6,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","567415","limited_space","15405","","{""Q0"":4,""Q1"":3}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","578886","limited_space","11463","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","589408","limited_space","10422","","{""Q0"":""44""}","","age_question",""
"","","","","","survey-multi-choice","15","null","593536","limited_space","4118","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","620252","limited_space","26562","","{""Q0"":""love has no limits""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","636087","limited_space","15747","","{""Q0"":""a chance to grow""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","659019","limited_space","22888","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","667490","limited_space","8412","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","684042","limited_space","16478","","{""Q0"":""short to live with regrets""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","715031","limited_space","30921","","{""Q0"":""more through deeds than through words""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","730745","limited_space","15628","","{""Q0"":""what makes you happy""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","755290","limited_space","24476","","{""Q0"":""and women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","770819","limited_space","15431","","{""Q0"":""one day at a time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","786522","limited_space","15609","","{""Q0"":""is that of an old friend""}","","recall_statement_10",""
