"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","63","empty_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","4994","empty_space","4930","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","instructions","2","2.0.0","8423","empty_space","3429","","","[{""page_index"":0,""viewing_time"":3429}]","",""
"","","","","","html-keyboard-response","3","2.0.0","18341","empty_space","9917","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","28831","empty_space","10489","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","33555","empty_space","4723","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","38071","empty_space","4515","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","41883","empty_space","3811","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","56403","empty_space","14519","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","61071","empty_space","4667","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","74339","empty_space","13267","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","78043","empty_space","3703","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","82143","empty_space","4099","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","87715","empty_space","5571","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","90339","empty_space","2623","","{""Q0"":""28""}","","age_question",""
"","","","","","survey-multi-choice","15","null","91787","empty_space","1447","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","102843","empty_space","11051","","{""Q0"":""love has no limits""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","113683","empty_space","10839","","{""Q0"":""a chance to grow""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","123915","empty_space","10231","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","128099","empty_space","4183","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","136587","empty_space","8486","","{""Q0"":""short to waste it on regrets""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","149279","empty_space","12691","","{""Q0"":""in deeds more than words""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","158675","empty_space","9394","","{""Q0"":""what makes you smile""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","165028","empty_space","6352","","{""Q0"":""but women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","173696","empty_space","8667","","{""Q0"":""one step at a time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","178935","empty_space","5238","","{""Q0"":""is an old friend""}","","recall_statement_10",""
