"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","19816","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","25347","limited_space","5528","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","instructions","2","2.0.0","77769","limited_space","52415","","","[{""page_index"":0,""viewing_time"":52415}]","",""
"","","","","","html-keyboard-response","3","2.0.0","84847","limited_space","7073","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    "," ","","",""
"","","","","","survey-likert","4","null","95442","limited_space","10587","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","120735","limited_space","25287","","{""Q0"":5,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","131455","limited_space","10714","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","143623","limited_space","12161","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","156579","limited_space","12949","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","165163","limited_space","8576","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","179017","limited_space","13847","","{""Q0"":6,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","196970","limited_space","17946","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","206548","limited_space","9573","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","219392","limited_space","12837","","{""Q0"":6,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","223128","limited_space","3717","","{""Q0"":""40""}","","age_question",""
"","","","","","survey-multi-choice","15","null","225907","limited_space","2775","","{""gender"":""Male""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","249094","limited_space","23070","","{""Q0"":""love has no limits""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","273578","limited_space","24467","","{""Q0"":""a chance to grow ""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","290984","limited_space","17388","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","299735","limited_space","8735","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","334624","limited_space","34868","","{""Q0"":""precious to waste on regrets""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","352656","limited_space","18016","","{""Q0"":""more in deeds than in words""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","375438","limited_space","22766","","{""Q0"":""what makes you smile""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","390390","limited_space","14936","","{""Q0"":""but women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","461577","limited_space","71166","","{""Q0"":""one step at a time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","485718","limited_space","24120","","{""Q0"":""is an old friend ""}","","recall_statement_10",""
