"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","condition","rt","stimulus","response","view_history","trial_id","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","2025","limited_space","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","10573","limited_space","8548","
      <p>Welcome to our study!</p>
      <p>In this brief study, you will see ten quotes from social platforms and answer a few questions.</p>
      <p>Please press any key when you are ready.</p>
    ","m","","",""
"","","","","","instructions","2","2.0.0","89391","limited_space","78817","","","[{""page_index"":0,""viewing_time"":78817}]","",""
"","","","","","html-keyboard-response","3","2.0.0","112759","limited_space","23367","
      <p>Next, you will be shown the first few words of each quote you have previously seen.</p>
      <p>Please try your best to recall the full quote, and fill in the blanks.</p>
      <p>Please press any key when you are ready.</p>
    ","m","","",""
"","","","","","survey-likert","4","null","138481","limited_space","25720","","{""Q0"":5,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","5","null","156574","limited_space","18092","","{""Q0"":5,""Q1"":5}","","likert_question","[0,1]"
"","","","","","survey-likert","6","null","172924","limited_space","16348","","{""Q0"":4,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","7","null","184362","limited_space","11437","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","8","null","195248","limited_space","10885","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","9","null","207688","limited_space","12439","","{""Q0"":5,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","10","null","214399","limited_space","6710","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","11","null","220777","limited_space","6377","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-likert","12","null","241172","limited_space","20394","","{""Q0"":5,""Q1"":4}","","likert_question","[0,1]"
"","","","","","survey-likert","13","null","249346","limited_space","8172","","{""Q0"":6,""Q1"":6}","","likert_question","[0,1]"
"","","","","","survey-text","14","2.0.0","256134","limited_space","6786","","{""Q0"":""33""}","","age_question",""
"","","","","","survey-multi-choice","15","null","259886","limited_space","3750","","{""gender"":""Female""}","","gender_question","[0]"
"","","","","","survey-text","16","2.0.0","290938","limited_space","31043","","{""Q0"":""love has no limits""}","","recall_statement_1",""
"","","","","","survey-text","17","2.0.0","305257","limited_space","14317","","{""Q0"":""a chance to grow""}","","recall_statement_2",""
"","","","","","survey-text","18","2.0.0","333658","limited_space","28398","","{""Q0"":""happiness doubled""}","","recall_statement_3",""
"","","","","","survey-text","19","2.0.0","346937","limited_space","13277","","{""Q0"":""carry on""}","","recall_statement_4",""
"","","","","","survey-text","20","2.0.0","365970","limited_space","19031","","{""Q0"":""precious to waste on regrets""}","","recall_statement_5",""
"","","","","","survey-text","21","2.0.0","380949","limited_space","14977","","{""Q0"":""more in deeds than in words""}","","recall_statement_6",""
"","","","","","survey-text","22","2.0.0","473560","limited_space","92610","","{""Q0"":""what makes you smile""}","","recall_statement_7",""
"","","","","","survey-text","23","2.0.0","490788","limited_space","17226","","{""Q0"":""but women never forget""}","","recall_statement_8",""
"","","","","","survey-text","24","2.0.0","502589","limited_space","11799","","{""Q0"":""one step at a time""}","","recall_statement_9",""
"","","","","","survey-text","25","2.0.0","510760","limited_space","8169","","{""Q0"":""is an old friend""}","","recall_statement_10",""
